"","id","transect","station","lon","lat"
"1","T1S1",1,1,150.09,-36.43
"2","T1S2",1,2,150.13,-36.43
"3","T1S3",1,3,150.17,-36.43
"4","T1S4",1,4,150.21,-36.43
"5","T1S5",1,5,150.25,-36.43
"6","T2S1",2,1,150.08,-36.4
"7","T2S2",2,2,150.12,-36.4
"8","T2S3",2,3,150.16,-36.4
"9","T2S4",2,4,150.2,-36.4
"10","T2S5",2,5,150.24,-36.4
"11","T3S1",3,1,150.1,-36.37
"12","T3S2",3,2,150.14,-36.37
"13","T3S3",3,3,150.18,-36.37
"14","T3S4",3,4,150.22,-36.37
"16","T4S1",4,1,150.11,-36.34
"17","T4S2",4,2,150.15,-36.34
"18","T4S3",4,3,150.19,-36.34
"19","T4S4",4,4,150.23,-36.34
"21","T5S1",5,1,150.15,-36.31
"22","T5S2",5,2,150.19,-36.31
"23","T5S3",5,3,150.23,-36.31
"26","T6S1",6,1,150.15,-36.28
"27","T6S2",6,2,150.19,-36.28
"28","T6S3",6,3,150.23,-36.28
"31","T7S1",7,1,150.16,-36.25
"32","T7S2",7,2,150.2,-36.25
"36","T8S1",8,1,150.15,-36.22
"37","T8S2",8,2,150.19,-36.22
"38","T8S3",8,3,150.23,-36.22
"41","T9S1",9,1,150.14,-36.19
"42","T9S2",9,2,150.18,-36.19
"43","T9S3",9,3,150.22,-36.19
"44","T9S4",9,4,150.26,-36.19
